174	40
440	258
276	365
240	376
26	36
75	446
49	203
452	421
276	85
128	98
425	242
233	207
463	22
483	50
88	479
203	398
424	404
425	84
107	364
455	167
297	490
241	157
49	414
84	396
60	350
73	71
457	241
109	229
312	389
451	233
50	396
226	403
430	351
277	63
297	378
73	437
117	493
248	22
197	208
275	466
61	343
333	470
120	472
310	318
164	306
446	392
117	4
102	52
137	7
404	41
235	254
431	334
360	2
103	187
442	436
37	252
368	328
453	33
144	373
270	443
96	281
424	245
81	10
188	431
178	382
159	70
304	379
171	335
391	282
37	75
66	268
118	100
277	21
329	7
483	263
413	428
290	124
43	257
90	78
249	359
479	366
119	305
94	180
174	122
126	51
300	428
249	168
6	280
306	324
349	417
143	174
322	485
461	412
308	131
202	12
185	405
406	417
181	418
41	96
28	64
75	141
237	19
242	23
253	221
1	198
356	148
30	482
90	33
297	273
61	49
10	1
120	141
362	265
367	472
387	431
408	156
152	180
386	144
399	482
493	265
194	178
483	448
291	75
347	488
445	461
407	237
301	106
481	220
266	372
4	154
182	254
498	165
195	381
97	138
87	390
210	189
36	193
460	105
187	121
98	216
211	463
261	330
402	58
30	168
127	128
239	193
427	95
443	309
222	48
259	17
